,Identifier,Single Point Energy / HF,CPU time / sec,Successful Run?,Homoleptic,Dataset Section,Alpha (degs),Beta (degs),Ligand,pKa
0,AFUYOR_0,-659.4560147,2786.1,Optimisation Completed,No,"(1,1,1,1)",,,,
1,ALUMIE_0,-716.2578569,1449.6,Optimisation Completed,No,"(2,1,1)",,,,
2,AVOLOM_0,-730.9079495,3945.6,Optimisation Completed,No,(4),,,,
3,BEDBAR_0,-476.8498221,1466.6,Optimisation Completed,No,"(1,1,1,1)",,,,
4,BEWHIV_0,-1196.6477637,43977.8,Optimisation Completed,No,"(3,1)",,,,
5,BINKUE_0,-1100.6950444,6365.5,Optimisation Completed,No,"(2,1,1)",,,,
6,BOWMEI_0,-785.5714531,5488.1,Optimisation Completed,No,"(2,1,1)",,,,
7,BUYRUK_0,-1307.4158304,18625.6,Optimisation Completed,No,"(2,2)",,,,
8,CABRAZ_0,-625.4867768,2364.4,Optimisation Completed,Yes,"(2,2)",,,,
9,CAQXIF_0,-1291.0835066,12506.4,Optimisation Completed,No,(4),,,,
10,CECZEQ_0,-478.019524,1240.0,Optimisation Completed,Yes,"(1,1,1,1)",111.73,110.31,CH3OH,-2.2
11,CEMCAZ_0,-1157.5805314,8364.5,Optimisation Completed,Yes,"(2,2)",,,,
12,CEMDII_0,-1316.2998527,45254.5,Optimisation Completed,Yes,"(2,2)",,,,
13,CENJIP_0,-954.1601669,10097.8,Optimisation Completed,Yes,"(1,1,1,1)",120.97,116.09,t-Butanol,-2.75
14,CEZTIM_0,-1991.2296712,3369.4,Optimisation Completed,No,(4),,,,
15,COJDIO_0,-1135.9231686,10534.6,Optimisation Completed,No,"(2,1,1)",,,,
16,CUSSEQ_0,-921.2436363,11513.0,Optimisation Completed,No,"(3,1)",,,,
17,CUSSIU_0,-954.0137551,10318.5,Optimisation Completed,No,"(3,1)",,,,
18,DAVJEP_0,-1005.8651584,4455.4,Optimisation Completed,Yes,"(1,1,1,1)",110.12,110.12,Pyridine,5.2
19,DAVJIT_0,-1164.5904761,14648.3,Optimisation Completed,Yes,"(1,1,1,1)",114.45,109.44,,
20,DAVJOZ_0,-1323.3053979,42011.0,Optimisation Completed,Yes,"(1,1,1,1)",113.96,109.54,,
21,DEMMEO_0,-857.4826276,16246.4,Optimisation Completed,No,"(2,1,1)",,,,
22,DEMNUF_0,-897.1599097,13218.2,Optimisation Completed,No,"(2,1,1)",,,,
23,DEMPIV_0,-1271.7528847,9409.7,Optimisation Completed,No,"(2,1,1)",,,,
24,DOKLIA_0,-1112.6999219,17282.3,Optimisation Completed,No,"(3,1)",,,,
25,EFIVOF_0,-1316.6438383,42510.5,Optimisation Completed,No,"(3,1)",,,,
26,EJEZUP_0,-1600.6134495,12255.5,Optimisation Completed,No,"(2,1,1)",,,,
27,EKOZEJ_0,-1284.7561636,19668.1,Optimisation Completed,No,"(2,2)",,,,
28,EPADUX_0,-736.5066248,2535.2,Optimisation Completed,No,"(1,1,1,1)",,,,
29,FEHVOH_0,-1542.6364872,17688.5,Optimisation Completed,Yes,"(1,1,1,1)",114.11,108.18,,
30,FOBHEJ_0,-1087.1718705,3537.0,Optimisation Completed,No,"(3,1)",,,,
31,FORZOB_0,-1257.0421665,12939.8,Optimisation Completed,Yes,"(2,2)",,,,
32,FUQMEL_0,-1446.639476,9141.9,Optimisation Completed,No,"(2,1,1)",,,,
33,GEVBIS_0,-607.8646739,7576.3,Optimisation Completed,No,"(3,1)",,,,
34,HADVEN_0,-829.4904083,44764.2,Optimisation Completed,No,"(2,1,1)",,,,
35,HAPWUS_0,-1085.0515539,6311.5,Optimisation Completed,No,"(3,1)",,,,
36,HOBNAP_0,-895.7531853,8417.2,Optimisation Completed,No,"(2,2)",,,,
37,HUTWIE01_0,-1068.4917198,13094.4,Optimisation Completed,No,"(3,1)",,,,
38,IGOFAL_0,-802.3084936,7313.6,Optimisation Completed,No,"(3,1)",,,,
39,IJODER_0,-619.9559193,4775.4,Optimisation Completed,No,"(2,1,1)",,,,
40,IQIFOF_1,-319.3085512,540.2,Optimisation Completed,Yes,"(1,1,1,1)",125.03,103.28,H2O,7.0
41,IYIREO_0,-1019.8753221,10870.0,Optimisation Completed,Yes,"(2,2)",,,,
42,JAGMEJ_0,-1729.3529125,21323.2,Optimisation Completed,No,"(3,1)",,,,
43,JAHYID_0,-906.6816126,2971.8,Optimisation Completed,No,"(1,1,1,1)",,,,
44,JAHZAW_0,-555.0521973,2419.9,Optimisation Completed,No,"(2,1,1)",,,,
45,KEFJAH_0,-978.6778202,8979.0,Optimisation Completed,No,(4),,,,
46,KIJZUZ01_0,-859.7425433,2093.8,Optimisation Completed,Yes,"(2,2)",,,,
47,LAZJAX_0,-728.8976932,6662.1,Optimisation Completed,No,"(3,1)",,,,
48,LEXYIZ_0,-1210.6966939,33517.6,Optimisation Completed,No,"(2,2)",,,,
49,LIPTHF_0,-1781.9206135,13834.4,Optimisation Completed,No,"(2,1,1)",,,,
50,LUDGOH_0,-1985.1117195,24850.2,Optimisation Completed,No,"(2,2)",,,,
51,LURHIP_0,-476.8532119,914.2,Optimisation Completed,No,"(2,1,1)",,,,
52,LURQUM_0,-1252.5505532,31800.2,Optimisation Completed,Yes,"(1,1,1,1)",118.68,108.35,gamma-lactone,-7.5
53,MALJIV_0,-793.1131913,3555.6,Optimisation Completed,Yes,"(2,2)",,,,
54,MEHBEG_0,-790.8475706,8532.0,Optimisation Completed,Yes,"(1,1,1,1)",113.34,108.02,Acetone,-7.5
55,MUGPAG_0,-526.2949677,961.6,Optimisation Completed,No,"(1,1,1,1)",,,,
56,NELCOZ_0,-1426.3509271,41867.9,Optimisation Completed,No,"(3,1)",,,,
57,NEPHIA_0,-465.6025379,916.5,Optimisation Completed,No,(4),,,,
58,OHUCOJ_0,-704.8329726,5434.4,Optimisation Completed,Yes,"(2,2)",,,,
59,OHUVUL_0,-387.4318111,1887.0,Optimisation Completed,Yes,"(2,2)",,,,
60,OKEMIB_0,-231.0772689,696.7,Optimisation Completed,Yes,"(1,1,1,1)",112.39,107.39,NH3,9.24
61,OPURAT_0,-1688.8740497,15051.5,Optimisation Completed,No,"(2,2)",,,,
62,PAJVAY_0,-1401.4941835,4244.2,Optimisation Completed,Yes,"(1,1,1,1)",118.72,118.72,,
63,PIXSEU_0,-1017.5558895,14527.7,Optimisation Completed,Yes,"(2,2)",,,,
64,PUKNOA_0,,1450.4,Optimisation Was Not Started,No,"(1,1,1,1)",,,,
65,QABKIQ_0,-539.1888761,651.8,Optimisation Completed,Yes,"(1,1,1,1)",111.77,111.77,Acetonitrile,-10.0
66,QECKOY_0,-795.451321,12920.3,Optimisation Completed,Yes,"(1,1,1,1)",115.89,114.99,IPA,-2.5
67,QERCIC_0,-703.6519522,4522.3,Optimisation Completed,No,(4),,,,
68,QUJMIU_0,-1108.1807424,20170.9,Optimisation Completed,Yes,"(1,1,1,1)",116.66,109.88,2-methyltetrahydrofuran,-2.5
69,REJCAN_1,-1359.4203495,18627.2,Optimisation Completed,No,"(2,2)",,,,
70,ROXVIM_0,-738.4456854,5863.0,Optimisation Completed,No,"(2,1,1)",,,,
71,SETXEX_0,-1323.7916035,13333.2,Optimisation Completed,No,"(2,1,1)",,,,
72,SIRGUW_0,-634.3903069,12946.4,Optimisation Completed,No,"(1,1,1,1)",,,,
73,SIXHUF_0,-1108.18939,12342.5,Optimisation Completed,Yes,"(1,1,1,1)",111.98,109.57,Tetrahydropyran,-3.0
74,SIYKOB_0,-1254.9292041,31494.5,Optimisation Completed,No,"(2,1,1)",,,,
75,SUDXOE_0,-1318.3938569,34715.7,Optimisation Completed,No,"(2,1,1)",,,,
76,SUMSOI10_0,-1015.6888644,30982.7,Optimisation Completed,No,"(2,1,1)",,,,
77,SUMSUO_0,-1081.8148201,9727.1,Optimisation Completed,Yes,"(2,2)",,,,
78,TEBMUI_0,-1715.5321984,15206.8,Optimisation Completed,No,"(2,2)",,,,
79,TOPFAH_0,-634.3981548,3374.5,Optimisation Completed,Yes,"(2,2)",,,,
80,USISOF_0,-1409.6190139,34222.0,Optimisation Completed,Yes,"(2,2)",,,,
81,UTOTAA_0,-1257.045831,14226.4,Optimisation Completed,Yes,"(1,1,1,1)",118.07,106.1,,
82,UWANIS_0,-1328.5432356,13840.8,Optimisation Completed,No,"(3,1)",,,,
83,VATJIN_0,-1288.2169146,31017.2,Optimisation Completed,No,(4),,,,
84,VEGWEJ_0,-865.2344351,10820.5,Optimisation Completed,No,"(2,1,1)",,,,
85,VUDJEM_0,-632.0335109,1165.1,Optimisation Completed,No,(4),,,,
86,VUFMIT_0,-1343.9934798,11865.2,Optimisation Completed,No,"(2,2)",,,,
87,WAKJAT_0,-1287.0173751,37902.1,Optimisation Completed,No,"(2,1,1)",,,,
88,WOLTUM_0,-827.151284,8940.6,Optimisation Completed,No,"(2,1,1)",,,,
89,XARLUY01_0,-1010.2769789,8932.1,Optimisation Completed,Yes,"(1,1,1,1)",122.82,107.08,DMF,0.0
90,XIDGIA_1,-1061.930257,47702.8,Optimisation Completed,No,"(2,1,1)",,,,
91,XUMWOS_0,-475.6764883,934.9,Optimisation Completed,Yes,"(2,2)",,,,
92,YELDAU_0,-949.4692342,38299.8,Optimisation Completed,Yes,"(1,1,1,1)",111.23,111.05,THF,-3.0
93,YIFJEC_0,-1082.3936698,9030.8,Optimisation Completed,No,"(2,2)",,,,
94,YUVMUZ_0,,28363.1,Optimisation Was Not Started,No,"(2,1,1)",,,,
95,ZALPOU_0,-1318.4881361,17782.3,Optimisation Completed,Yes,"(1,1,1,1)",114.7,112.84,,
96,ZEKQUD_0,-802.3245681,8189.4,Optimisation Completed,No,"(2,2)",,,,
97,ZUCFUB_0,-1601.2047379,33827.8,Optimisation Completed,No,(4),,,,
98,ZUZROB_0,-895.972913,19958.9,Optimisation Completed,No,"(2,1,1)",,,,
