Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Error Code,Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
ADOSBU_1_protonated,WB97M-D3BJ,def2-TZVP,675.0,0.0,1.0,273.19,110.2,8.0,,Error termination in LEANSCF,,,,,,,,
AMUDIX_1,,,,,,,,,,.OUT File not found,,,,,,,,
AYEYAG_1,WB97M-D3BJ,def2-TZVP,923.0,0.0,1.0,397.97,2719.0,8.0,152333.0,,-1551.54674038,-1551.24744588,0.07933079,-1551.32677667,14.89,32.37,36.36,44.27
BORMAL_1,WB97M-D3BJ,def2-TZVP,651.0,0.0,1.0,281.89,1939.4,8.0,39496.0,,-1095.43860547,-1095.23181313,0.06151251,-1095.29332564,40.4,44.17,71.05,72.04
BOTLAX_3,WB97M-D3BJ,def2-TZVP,1423.0,0.0,1.0,630.51,1568.8,16.0,268967.0,,-3070.4702346,-3069.98223424,0.09018206,-3070.0724163,29.81,33.92,50.98,52.62
CAWXUV_2,WB97M-D3BJ,def2-TZVP,1396.0,0.0,1.0,549.5,2532.0,8.0,571130.0,,-2078.29927394,-2077.67760691,0.10621909,-2077.783826,16.93,18.86,23.12,30.43
CEKLUZ_5_protonated,WB97M-D3BJ,def2-TZVP,1280.0,0.0,1.0,572.23,1665.3,16.0,248001.0,,-2665.88820672,-2665.40224741,0.0932234,-2665.49547082,22.58,29.43,45.47,52.16
CERXOM,WB97M-D3BJ,def2-TZVP,984.0,0.0,1.0,380.32,2660.9,8.0,164688.0,,-1267.5291928,-1267.15479771,0.07413317,-1267.22893088,22.88,32.4,52.33,61.58
DHDIUL_5,WB97M-D3BJ,def2-TZVP,872.0,0.0,1.0,362.21,2721.7,8.0,170500.0,,-1379.97495582,-1379.60589615,0.07467143,-1379.68056759,40.85,46.66,49.94,70.68
DIVPIH_4_protonated,WB97M-D3BJ,def2-TZVP,966.0,0.0,1.0,399.25,4458.7,8.0,154433.0,,-1464.26534729,-1463.92700022,0.07837696,-1464.00537718,12.48,30.14,35.28,43.09
EBEFIA_1,WB97M-D3BJ,def2-TZVP,1111.0,0.0,1.0,433.49,2616.6,8.0,238357.0,,-1732.35005458,-1731.79853861,0.08195459,-1731.8804932,27.99,38.5,42.76,51.39
ERYTHR_4,WB97M-D3BJ,def2-TZVP,1092.0,0.0,1.0,406.43,2618.8,8.0,244306.0,,-1356.43954118,-1355.85448294,0.08165634,-1355.93613928,51.1,59.68,71.72,86.56
GADKUV_1,WB97M-D3BJ,def2-TZVP,1033.0,0.0,1.0,405.32,2643.6,8.0,147767.0,,-1402.17139639,-1401.75746309,0.08122346,-1401.83868655,16.77,28.29,31.79,46.96
GLCTSM_3,WB97M-D3BJ,def2-TZVP,594.0,0.0,1.0,265.08,1728.1,8.0,80197.0,,-1242.82044397,-1242.57370663,0.0609525,-1242.63465913,54.66,82.92,103.01,105.43
GOHKUJ_1,WB97M-D3BJ,def2-TZVP,858.0,0.0,1.0,322.32,2719.0,8.0,314005.0,,-1085.62283173,-1085.17135257,0.07458059,-1085.24593317,42.1,57.0,73.87,83.47
HIBYOG,WB97M-D3BJ,def2-TZVP,1020.0,0.0,1.0,435.23,2654.9,8.0,189949.0,,-2147.39978436,-2146.98083438,0.07944062,-2147.06027499,17.41,30.25,51.33,57.57
HOQWUG_1,WB97M-D3BJ,def2-TZVP,898.0,0.0,1.0,364.22,4408.1,8.0,150073.0,,-1304.15263259,-1303.84064771,0.07373427,-1303.91438198,18.94,29.01,44.89,66.72
HOSLEH_4,WB97M-D3BJ,def2-TZVP,1082.0,0.0,1.0,446.28,2609.0,8.0,222043.0,,-1685.5114954,-1685.05870929,0.08691589,-1685.14562519,31.02,36.29,42.52,51.16
HUZDEL_1,WB97M-D3BJ,def2-TZVP,760.0,0.0,1.0,292.25,2765.7,8.0,118885.0,,-1005.82328576,-1005.45510165,0.06763698,-1005.52273863,34.05,44.12,53.79,67.79
ITINUU_4,WB97M-D3BJ,def2-TZVP,1522.0,0.0,1.0,629.44,1588.7,16.0,399350.0,,-2332.6370486,-2332.08370794,0.11489139,-2332.19859933,16.07,20.76,22.28,29.26
IWIMUW_1,WB97M-D3BJ,def2-TZVP,1144.0,0.0,1.0,459.45,2593.2,8.0,281069.0,,-1836.93461492,-1836.48121281,0.08939005,-1836.57060286,17.73,23.75,33.07,36.24
IWUCUY,WB97M-D3BJ,def2-TZVP,994.0,0.0,1.0,380.36,2638.8,8.0,427565.0,,-1309.98561108,-1309.4878282,0.08692601,-1309.57475421,22.73,28.79,36.24,45.12
JAZVIP10_1,WB97M-D3BJ,def2-TZVP,749.0,0.0,1.0,345.31,2763.7,8.0,102422.0,,-1842.04043856,-1841.77527394,0.06820827,-1841.84348221,29.36,49.44,57.74,63.89
JIZBUS_3,WB97M-D3BJ,def2-TZVP,1118.0,0.0,1.0,428.39,2618.2,8.0,329525.0,,-1466.19419346,-1465.66339524,0.08062403,-1465.74401928,23.89,30.36,36.17,48.92
JUFXIU_1,WB97M-D3BJ,def2-TZVP,1543.0,0.0,1.0,586.58,4133.3,8.0,636706.0,,-2005.60912392,-2004.85221067,0.11043139,-2004.96264206,18.73,22.49,29.68,37.47
JUJVIT,WB97M-D3BJ,def2-TZVP,865.0,0.0,1.0,334.28,2733.4,8.0,117123.0,,-1158.48351155,-1158.06887877,0.07180222,-1158.14068098,33.78,44.94,56.74,64.0
KUNNOW,WB97M-D3BJ,def2-TZVP,1001.0,0.0,1.0,410.76,2660.3,8.0,184828.0,,-1770.91302615,-1770.46318979,0.07866277,-1770.54185256,44.28,50.33,54.78,60.97
LIYRUG_3,WB97M-D3BJ,def2-TZVP,865.0,0.0,1.0,346.25,2729.2,8.0,207381.0,,-1269.92862683,-1269.51621673,0.07368627,-1269.589903,31.18,35.45,57.61,76.72
LOGLAU_1_protonated,WB97M-D3BJ,def2-TZVP,700.0,0.0,1.0,459.66,2076.7,8.0,47683.0,,-4045.63929297,-4045.51493943,0.07310323,-4045.58804266,43.93,59.46,64.51,107.88
MAWGEY_1,WB97M-D3BJ,def2-TZVP,1524.0,0.0,1.0,564.62,1657.0,16.0,342871.0,,-1857.16755093,-1856.39232461,0.11389434,-1856.50621895,20.62,29.13,32.48,40.09
MCRZMA_4,WB97M-D3BJ,def2-TZVP,958.0,0.0,1.0,390.27,2716.7,8.0,121491.0,,-1454.72700454,-1454.29663111,0.08069877,-1454.37732988,28.95,37.05,47.86,57.77
MDXSPP_4,WB97M-D3BJ,def2-TZVP,668.0,0.0,1.0,257.21,2334.8,8.0,60907.0,,-868.86750818,-868.566185,0.06128691,-868.62747192,28.94,49.69,77.74,82.42
MICGIP_1,WB97M-D3BJ,def2-TZVP,1328.0,0.0,1.0,524.44,4236.1,8.0,446579.0,,-1879.40510813,-1878.7974695,0.10556908,-1878.90303858,16.17,24.2,30.52,31.74
MMALTS_2_protonated,WB97M-D3BJ,def2-TZVP,896.0,0.0,1.0,362.25,2710.8,8.0,146440.0,,-1345.19469135,-1344.77559391,0.07587588,-1344.85146979,29.08,40.26,54.52,76.2
PXCHTR10_1,WB97M-D3BJ,def2-TZVP,896.0,0.0,1.0,346.29,2713.4,8.0,155360.0,,-1196.63633923,-1196.21438024,0.07199645,-1196.28637669,48.33,53.9,67.19,75.86
QASZOA_1,WB97M-D3BJ,def2-TZVP,937.0,0.0,1.0,549.29,2723.6,8.0,90094.0,,-3567.90901503,-3567.76791652,0.08749437,-3567.85541088,15.25,17.55,32.66,38.78
QILCOF_4,WB97M-D3BJ,def2-TZVP,1082.0,0.0,1.0,418.36,2633.0,8.0,306751.0,,-1421.66899327,-1421.21414333,0.08457686,-1421.29872018,18.56,23.3,29.84,38.08
RALYIN_1,WB97M-D3BJ,def2-TZVP,977.0,0.0,1.0,384.3,4440.7,8.0,377715.0,,-1346.96195752,-1346.54956268,0.07569891,-1346.62526159,23.27,34.11,40.23,47.99
ROFGOJ_5,WB97M-D3BJ,def2-TZVP,1459.0,0.0,1.0,584.44,2515.5,8.0,399587.0,,-2108.56046914,-2107.96579701,0.10126692,-2108.06706392,14.31,22.93,29.6,35.3
SOKTIW_3,WB97M-D3BJ,def2-TZVP,1228.0,0.0,1.0,477.54,2575.2,8.0,257256.0,,-1886.35918583,-1885.73862809,0.08815044,-1885.82677853,18.88,23.68,32.61,46.94
TEGYEJ_1,WB97M-D3BJ,def2-TZVP,984.0,0.0,1.0,392.3,2666.7,8.0,134536.0,,-1375.12550022,-1374.75048172,0.07602946,-1374.82651118,26.25,30.67,46.87,53.11
TIBWOQ_1_protonated,WB97M-D3BJ,def2-TZVP,669.0,0.0,1.0,274.17,2173.2,8.0,80059.0,,-991.16670412,-990.91705538,0.05932476,-990.97638014,49.27,63.92,87.38,132.67
UFATED_1,WB97M-D3BJ,def2-TZVP,1577.0,0.0,1.0,614.33,2537.5,8.0,405727.0,,-2091.30903085,-2090.69423899,0.10531471,-2090.79955369,11.48,17.05,20.2,21.21
UGIBES_1,WB97M-D3BJ,def2-TZVP,1352.0,0.0,1.0,508.52,2575.8,8.0,428805.0,,-1699.82627661,-1699.16710352,0.09022849,-1699.25733201,25.52,33.83,49.18,53.84
URPOAD10_5,WB97M-D3BJ,def2-TZVP,1367.0,0.0,1.0,579.35,2528.4,8.0,578494.0,,-2374.51335257,-2373.99998031,0.09540061,-2374.09538092,18.37,24.88,34.3,39.98
UXADUV_4,WB97M-D3BJ,def2-TZVP,724.0,0.0,1.0,294.18,2766.2,8.0,92324.0,,-1076.38926444,-1076.08587178,0.05685326,-1076.14272504,76.15,104.43,114.75,140.55
XALKUQ_3,WB97M-D3BJ,def2-TZVP,1192.0,0.0,1.0,478.37,2592.3,8.0,269584.0,,-1766.51427234,-1765.95268868,0.09179506,-1766.04448374,15.54,27.46,31.66,52.43
XOPMIB_3_protonated,WB97M-D3BJ,def2-TZVP,842.0,0.0,1.0,369.16,2741.9,8.0,166490.0,,-1614.61294098,-1614.31384166,0.07216077,-1614.38600243,29.78,36.13,45.31,53.01
XUDFUX_2,WB97M-D3BJ,def2-TZVP,816.0,0.0,1.0,346.28,2743.6,8.0,293229.0,,-1552.44735065,-1552.09394274,0.06837672,-1552.16231946,47.5,57.9,66.58,67.9
ZIFBOI_1_protonated,WB97M-D3BJ,def2-TZVP,1045.0,0.0,1.0,416.42,2634.6,8.0,211254.0,,-1668.13035322,-1667.70561935,0.08236338,-1667.78798273,15.32,21.91,25.18,35.22
