Identifier,Binding Functional Group,pKa,SMILES
Phosphate,P([O-])=O,1.97,[Li+][O-]P(O)(O)=O
AceticAcids,C([O-])=O,4.76,CC([O-][Li+])=O
NitroAceticAcid,C([O-])=O,1.68,C(C(=O)[O-][Li+])[N+](=O)[O-]
AlcoholAceticAcid,C([O-])=O,3.83,OCC([O-][Li+])=O
BenzoicAcid,[c]([O-])=O,4.2,O=C([O-][Li+])c1ccccc1
pNitroBenzoicAcid,[c]([O-])=O,3.44,O=[N+]([O-])c1ccc(C(=O)[O-][Li+])cc1
pBromoBenzoicAcid,[c]([O-])=O,4,O=C([O-][Li+])c1ccc(Br)cc1
pFluoroBenzoicAcid,[c]([O-])=O,4.14,O=C([O-][Li+])c1ccc(F)cc1
pAlcoholBenzoicAcid,[c]([O-])=O,4.58,O=C([O-][Li+])c1ccc(O)cc1
pAminoBenzoicAcid,[c]([O-])=O,4.92,O=C([O-][Li+])c1ccc(N)cc1
pNitroPhenol,[c][O-],7.14,O=[N+]([O-])c1ccc([O-][Li+])cc1
pChloroPhenol,[c][O-],9.38,C1=CC(=CC=C1[O-][Li+])Cl
pAminoPhenol,[c][O-],10.3,C1=CC(=CC=C1[O-][Li+])N
Phenol,[c][O-],9.95,[Li+][O-]c1ccccc1
Trifluoroethanol,C[O-],12.37,FC(F)(F)C[O-][Li+]
TrifluoroAceticAcid,C([O-])=O,0.23,FC(F)(F)C([O-][Li+])=O
Water,[O-],14,[O-][Li+]
Ethanol,C[O-],16,CC[O-][Li+]
Methanol,C[O-],15.5,C[O-][Li+]
