Identifier,Error Code,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
Argon,.XYZ File not found,WB97M-D3BJ,def2-TZVP,37.0,0.0,1.0,39.95,15.1,1.0,2.0,-527.586087913372,,,,,,,
Carbonyl,,WB97M-D3BJ,def2-TZVP,62.0,0.0,1.0,28.01,25.8,4.0,101.0,-113.39848067,-113.39007076,0.02242149,-113.41249225,,,,
Dimethylether,,WB97M-D3BJ,def2-TZVP,129.0,0.0,1.0,46.07,40.1,4.0,543.0,-155.11717787,-155.03193521,0.03000138,-155.06193659,209.64,250.66,417.39,965.49
Ethanol,,WB97M-D3BJ,def2-TZVP,129.0,0.0,1.0,46.07,40.1,4.0,618.0,-155.13514388,-155.04971181,0.03064987,-155.08036168,258.53,278.4,423.45,804.59
i-Propanol,,WB97M-D3BJ,def2-TZVP,172.0,0.0,1.0,60.09,121.3,4.0,1595.0,-194.47912717,-194.36450755,0.03392527,-194.39843282,223.89,253.35,266.97,361.63
Imidazole,,WB97M-D3BJ,def2-TZVP,179.0,0.0,1.0,68.08,57.3,4.0,1135.0,-226.3743489,-226.29790074,0.03092353,-226.32882428,520.55,649.35,684.18,750.12
Methanol,,WB97M-D3BJ,def2-TZVP,86.0,0.0,1.0,32.04,26.6,4.0,238.0,-115.7918376,-115.73614993,0.02708948,-115.76323941,291.33,1060.48,1092.77,1170.36
Pyrazine,,WB97M-D3BJ,def2-TZVP,210.0,0.0,1.0,80.09,75.1,4.0,1723.0,-264.49580105,-264.41331039,0.03109583,-264.44440622,364.09,436.33,607.54,720.05
Pyridazine,,WB97M-D3BJ,def2-TZVP,210.0,0.0,1.0,80.09,75.1,4.0,1767.0,-264.46637269,-264.3844226,0.03185068,-264.41627328,382.56,385.95,632.04,681.12
Pyridine,,WB97M-D3BJ,def2-TZVP,216.0,0.0,1.0,79.1,199.8,4.0,1727.0,-248.45167396,-248.35713316,0.03192483,-248.38905799,388.7,420.35,612.35,668.07
Pyrimidine,,WB97M-D3BJ,def2-TZVP,210.0,0.0,1.0,80.09,75.1,4.0,1758.0,-264.50326981,-264.42057847,0.03178798,-264.45236645,359.11,412.27,632.28,695.07
s-Triazine,,WB97M-D3BJ,def2-TZVP,204.0,0.0,1.0,81.08,66.6,4.0,1749.0,-280.5584264,-280.4875192,0.03168092,-280.51920012,358.11,358.12,692.24,692.26
t-Butanol,,WB97M-D3BJ,def2-TZVP,215.0,0.0,1.0,74.12,192.1,4.0,1907.0,-233.82318758,-233.67962237,0.03672859,-233.71635096,199.7,256.75,271.06,285.77
Water,,WB97M-D3BJ,def2-TZVP,43.0,0.0,1.0,18.02,25.5,4.0,80.0,-76.47308108,-76.44795359,0.02141893,-76.46937252,1619.04,3824.47,3927.07,
