Identifier,Numbered Halcrow Identifier,Reference,Spin Cross Over Temperature (K),Crystal Structure Recorded,Delta H (kJ mol-1),Delta S (J mol-1 K-1)
HPZBFE,,https://doi.org/10.1021/ic50203a034,393,Yes,,
KEKVIF03,,https://doi.org/10.1021/ja016980k,176,Yes,,
BAXFIS02,,https://doi.org/10.1016/j.ica.2018.01.001,333,Yes,,
NEFSUM02,,https://doi.org/10.1039/B403179B,160,Yes,,
ZUCROE,,https://doi.org/10.1021/ja943960s,280,Yes,,
WAHKEX,,https://doi.org/10.1021/ic902161v,184,Yes,,
ERIWEK01,,https://doi.org/10.3390/cryst8110401,229,Yes,,
ERIWOU01,,https://doi.org/10.3390/cryst8110401,211,Yes,,
HALCROW-H,HALCROW-1,https://doi.org/10.1002/anie.201600165,248,No,24.1,101
HALCROW-X-Me,HALCROW-2,https://doi.org/10.1002/anie.201600166,216,No,,
HALCROW-X-CH2SCN,HALCROW-3,https://doi.org/10.1002/anie.201600167,213,No,,
HALCROW-X-CO2H,HALCROW-4,https://doi.org/10.1002/anie.201600168,281,No,40.9,146
HALCROW-X-NO2,HALCROW-7,https://doi.org/10.1002/anie.201600169,309,No,20.6,67
HALCROW-X-pz,HALCROW-8,https://doi.org/10.1002/anie.201600170,215,No,,
HALCROW-X-OH,HALCROW-9,https://doi.org/10.1002/anie.201600171,164,No,,
HALCROW-X-OMe,HALCROW-10,https://doi.org/10.1002/anie.201600172,158,No,,
HALCROW-X-F,HALCROW-11,https://doi.org/10.1002/anie.201600173,215,No,,
HALCROW-X-Cl,HALCROW-12,https://doi.org/10.1002/anie.201600174,226,No,21.9,96
HALCROW-X-Br,HALCROW-13,https://doi.org/10.1002/anie.201600175,234,No,21.2,90
HALCROW-X-I,HALCROW-14,https://doi.org/10.1002/anie.201600176,236,No,23.2,98
HALCROW-X-SH,HALCROW-15,https://doi.org/10.1002/anie.201600177,246,No,,
HALCROW-X-SMe,HALCROW-16,https://doi.org/10.1002/anie.201600178,194,No,,
HALCROW-X-SOMe,HALCROW-17,https://doi.org/10.1002/anie.201600179,284,No,23,81
HALCROW-X-SO2Me,HALCROW-18,https://doi.org/10.1002/anie.201600180,294,No,33,112
HALCROW-X-cisCHCHPh,HALCROW-19,https://doi.org/10.1002/anie.201600181,245,No,19.4,79
HALCROW-X-cisCHCHC6H4CN4,HALCROW-20,https://doi.org/10.1002/anie.201600182,259,No,20.1,78
HALCROW-X-cisCHCHC6H4NO24,HALCROW-21,https://doi.org/10.1002/anie.201600183,261,No,21.1,81
HALCROW-Y-Me,HALCROW-22,https://doi.org/10.1002/anie.201600184,273,No,26.4,96
HALCROW-Y-CH2OH,HALCROW-23,https://doi.org/10.1002/anie.201600185,259,No,25.7,99
HALCROW-Y-tBu,HALCROW-24,https://doi.org/10.1002/anie.201600186,251,No,19,76
HALCROW-Y-CO2Et,HALCROW-25,https://doi.org/10.1002/anie.201600187,246,No,24.4,99
HALCROW-Y-Cl,HALCROW-26,https://doi.org/10.1002/anie.201600188,231,No,,
HALCROW-Y-Br,HALCROW-27,https://doi.org/10.1002/anie.201600189,238,No,,
HALCROW-Y-I,HALCROW-28,https://doi.org/10.1002/anie.201600190,237,No,19.2,80
